,group,group_id,name,homepage,description,category,projectrank,show,monthly_downloads,release_count,created_at,updated_at,projectrank_placing,labels,trending,github_id,conda_id,pypi_id,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,npm_id,maven_id,npm_url,npm_monthly_downloads,maven_url,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,go_id,go_url
0,True,eth,ETH - Ethereum,https://github.com/ethereum,Decentralized platform for applications. Applications build on it can use smart contracts - computer algorithms which..,smart-contract-platform,12,True,39233208.0,61.0,2020-08-27 02:23:15.253,2023-07-28 16:37:14.379,1.0,,,,,,,,,,,,,,,,,,,,,
1,True,btc,BTC - Bitcoin,https://github.com/bitcoin,"Cryptocurrency and worldwide payment system. It is the first decentralized digital currency, as the system works..",cryptocurrency,8,False,22324701.999999996,,,,1.0,,,,,,,,,,,,,,,,,,,,,
2,True,near,NEAR - Near,https://github.com/near,"Sharded, developer-friendly, proof-of-stake public blockchain, built by a world-class team that has built some of the..",smart-contract-platform,8,False,5835228.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
3,True,sol,SOL - Solana,https://github.com/solana-labs,"Public blockchain. It is open-source and decentralised, and achieves consensus using a proof-of-stake algorithm..",smart-contract-platform,8,False,4977307.333333333,,,,1.0,,,,,,,,,,,,,,,,,,,,,
4,True,dot,DOT - Polkadot,https://github.com/paritytech,Network protocol that allows arbitrary datanot just tokensto be transferred across blockchains. This means Polkadot is..,smart-contract-platform,8,False,3531776.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
5,True,uni,UNI - Uniswap,https://github.com/Uniswap,"Governance token for Uniswap, an Automated Market Market DEX on the Ethereum blockchain. The UNI token allows token..",amm,8,False,3936840.0,,,,1.0,['eth'],,,,,,,,,,,,,,,,,,,,
6,True,algo,ALGO - Algorand,https://github.com/algorand,"Algorand removes the technical barriers that for years undermined mainstream blockchain adoption: decentralization,..",cryptocurrency,7,False,678982.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
7,True,xlm,XLM - Stellar,https://github.com/stellar,Open platform for building financial products that connect people everywhere. Stellar blockchain enables near instant..,cryptocurrency,7,False,588604.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
8,True,trx,TRX - TRON,https://github.com/tronprotocol,TRON: Decentralize the Web TRON is dedicated to building the infrastructure for a truly decentralized Internet. The..,smart-contract-platform,7,False,482858.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
9,True,eos,EOS - EOS,https://github.com/eosio,Cryptocurrency token and blockchain that operates as a smart contract platform for the deployment of decentralized..,smart-contract-platform,7,False,646584.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
