,group,group_id,name,homepage,description,category,projectrank,show,monthly_downloads,release_count,created_at,updated_at,projectrank_placing,labels,trending,github_id,conda_id,pypi_id,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,npm_id,maven_id,npm_url,npm_monthly_downloads,maven_url,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,go_id,go_url
0,True,eth,ETH - Ethereum,https://github.com/ethereum,Decentralized platform for applications. Applications build on it can use smart contracts - computer algorithms which..,smart-contract-platform,12,True,45874861.33333333,53.0,2020-08-27 02:23:15.253,2023-03-23 19:08:15.076,1.0,,,,,,,,,,,,,,,,,,,,,
1,True,btc,BTC - Bitcoin,https://github.com/bitcoin,"Cryptocurrency and worldwide payment system. It is the first decentralized digital currency, as the system works..",cryptocurrency,8,False,22529634.000000004,,,,1.0,,,,,,,,,,,,,,,,,,,,,
2,True,near,NEAR - Near,https://github.com/near,"Sharded, developer-friendly, proof-of-stake public blockchain, built by a world-class team that has built some of the..",smart-contract-platform,8,False,5815212.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
3,True,sol,SOL - Solana,https://github.com/solana-labs,"Public blockchain. It is open-source and decentralised, and achieves consensus using a proof-of-stake algorithm..",smart-contract-platform,8,False,5571467.333333334,,,,1.0,,,,,,,,,,,,,,,,,,,,,
4,True,uni,UNI - Uniswap,https://github.com/Uniswap,"Governance token for Uniswap, an Automated Market Market DEX on the Ethereum blockchain. The UNI token allows token..",amm,8,False,3810868.0,,,,1.0,['eth'],,,,,,,,,,,,,,,,,,,,
5,True,dot,DOT - Polkadot,https://github.com/paritytech,Network protocol that allows arbitrary datanot just tokensto be transferred across blockchains. This means Polkadot is..,smart-contract-platform,7,False,3194530.666666667,,,,1.0,,,,,,,,,,,,,,,,,,,,,
6,True,algo,ALGO - Algorand,https://github.com/algorand,"Algorand removes the technical barriers that for years undermined mainstream blockchain adoption: decentralization,..",cryptocurrency,7,False,770638.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
7,True,xlm,XLM - Stellar,https://github.com/stellar,Open platform for building financial products that connect people everywhere. Stellar blockchain enables near instant..,cryptocurrency,7,False,564754.6666666667,,,,1.0,,,,,,,,,,,,,,,,,,,,,
8,True,eos,EOS - EOS,https://github.com/eosio,Cryptocurrency token and blockchain that operates as a smart contract platform for the deployment of decentralized..,smart-contract-platform,7,False,545872.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
9,True,clny,CLNY - MarsColony,https://github.com/JoinColony,Hybrid token that contains attributes of government and utility tokens. Token holders can use this token to take part..,others,7,False,662804.0,,,,1.0,['one'],,,,,,,,,,,,,,,,,,,,
10,True,ens,ENS - Ethereum Name Service,https://github.com/ensdomains,"The Ethereum Name Service (ENS) is a distributed, open, and extensible naming system based on the Ethereum blockchain...",metaverse,7,False,1007680.0,,,,1.0,['eth'],,,,,,,,,,,,,,,,,,,,
11,True,srm,SRM - Serum,https://github.com/project-serum,Worlds first completely decentralized derivatives exchange with trustless cross-chain trading.,exchange-tokens,7,False,1873121.333333333,,,,1.0,['eth'],,,,,,,,,,,,,,,,,,,,
12,True,xch,XCH - Chia,https://github.com/Chia-Network,"Founded by Bram Cohen, the inventor of the BitTorrent network, Chia Network is building a better blockchain and smart..",smart-contract-platform,7,False,593274.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
13,True,xrp,XRP - XRP,https://github.com/ripple,"Ripple (XRP) is one of the fastest and most scalable digital asset, enabling real-time global payments anywhere in the..",cryptocurrency,6,False,284676.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
14,True,luna,LUNA - Terra,https://github.com/terra-money,A stable foundation for the future of decentralized finance.,defi,6,False,168900.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
15,True,avax,AVAX - Avalanche,https://github.com/ava-labs,Open-source platform for launching decentralized finance applications and enterprise blockchain deployments in one..,smart-contract-platform,6,False,195060.0,,,,1.0,['avax'],,,,,,,,,,,,,,,,,,,,
16,True,link,LINK - Chainlink,https://github.com/smartcontractkit,"The LINK Network provides smart contracts with data, bank payments and access to APIs.",web3,6,False,231766.0,,,,1.0,['eth'],,,,,,,,,,,,,,,,,,,,
17,True,atom,ATOM - Cosmos,https://github.com/cosmos,"Decentralized network of independent parallel blockchains, each powered by BFT consensus algorithms like Tendermint..",cryptocurrency,6,False,153480.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
18,True,trx,TRX - TRON,https://github.com/tronprotocol,TRON: Decentralize the Web TRON is dedicated to building the infrastructure for a truly decentralized Internet. The..,smart-contract-platform,6,False,359270.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
19,True,icp,ICP - Internet Computer,https://github.com/dfinity,Worlds first blockchain that is capable of running at web speed at unrestrictive capacities. Built by the DFINITY..,smart-contract-platform,6,False,86022.66666666667,,,,1.0,,,,,,,,,,,,,,,,,,,,,
20,True,hbar,HBAR - Hedera,https://github.com/hashgraph,Decentralized public network for you to make your digital world exactly as it should be yours. Whether youre a startup..,exchange-tokens,6,False,261690.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
21,True,fil,FIL - Filecoin,https://github.com/filecoin-project,The Filecoin network achieves staggering economies of scale by allowing anyone worldwide to participate as storage..,web3,6,False,110947.33333333331,,,,1.0,,,,,,,,,,,,,,,,,,,,,
22,True,mana,MANA - Decentraland,https://github.com/decentraland,"Decentraland will be a virtual reality platform powered by the Ethereum blockchain. Users can create, experience, and..",metaverse,6,False,101960.0,,,,1.0,['eth'],,,,,,,,,,,,,,,,,,,,
23,True,ar,AR - Arweave,https://github.com/ArweaveTeam,A new data storage blockchain protocol based on a novel proof of access consensus mechanism that creates truly..,web3,6,False,376982.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
24,True,flow,FLOW - Flow,https://github.com/onflow,"Fast, decentralized, and developer-friendly blockchain, designed as the foundation for a new generation of..",metaverse,6,False,110800.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
25,True,stx,STX - Stacks,https://github.com/blockstack,New decentralized internet where users own their data and apps run locally. A browser portal is all thats needed to..,web3,6,False,310800.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
26,True,celo,CELO - Celo,https://github.com/celo-org,"A platform for fast, secure, stable digital payments to any mobile number at a fraction of todays cost.",cryptocurrency,6,False,228012.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
27,True,snx,SNX - Synthetix Network Token,https://github.com/Synthetixio,Synthetix Network Token will be a decentralised payment network where users transact directly in a price-stable..,defi,6,False,298604.0,,,,1.0,['eth'],,,,,,,,,,,,,,,,,,,,
28,True,scrt,SCRT - Secret,https://github.com/scrtlabs,"Native coin of the Secret Network, the first blockchain that enables general-purpose private / secure computation...",privacy-coins,6,False,84722.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
29,True,gno,GNO - Gnosis,https://github.com/gnosis,Gnosis builds revolutionary market-driven forecasting technology to let you shape the future.,exchange-tokens,6,False,83846.0,,,,1.0,['eth'],,,,,,,,,,,,,,,,,,,,
30,True,movr,MOVR - Moonriver,https://github.com/PureStake,Fully Ethereum-compatible smart contract parachain on Kusama. Due to this Ethereum-like design and developer-friendly..,smart-contract-platform,6,False,64300.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
31,True,maid,MAID - MaidSafeCoin,https://github.com/maidsafe,"Blockchain based storage solutions that store a data identifier (e.g. hash) in a blockchain, but store the data..",web3,6,False,145766.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
32,True,nim,NIM - Nimiq,https://github.com/nimiq,Blockchain designed for simplicity. Nimiq aims to be the best performing and easiest-to-use decentralized payment..,others,6,False,235138.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
33,True,neo,NEO - NEO,https://github.com/neo-project,Non-profit community-based blockchain project that utilizes blockchain technology and digital identity to digitize..,smart-contract-platform,5,False,16976.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
34,True,matic,MATIC - Polygon,https://github.com/maticnetwork,Matic Network brings massive scale to Ethereum using an adapted version of Plasma with PoS based side chains.,smart-contract-platform,5,False,57616.0,,,,2.0,['eth'],,,,,,,,,,,,,,,,,,,,
35,True,icx,ICX - ICON,https://github.com/icon-project,ICON wants to be one of the largest blockchain networks in the world. ICON will boast independent blockchains..,smart-contract-platform,5,False,9758.0,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,
36,True,aave,AAVE - Aave,https://github.com/aave,Decentralized Lending on Ethereum Network - Lending Ethereum.,defi,5,False,13880.0,,,,1.0,['eth'],,,,,,,,,,,,,,,,,,,,
37,True,sushi,SUSHI - Sushi,https://github.com/sushiswap,"DeFi protocol that is completely community-driven, serving up delicious interest for your held crypto assets. On..",amm,5,False,32342.0,,,,2.0,['eth'],,,,,,,,,,,,,,,,,,,,
38,True,cake,CAKE - PancakeSwap,https://github.com/pancakeswap,"Automated market maker (AMM) that allows two tokens to be exchanged on the Binance Smart Chain. It is fast, cheap, and..",amm,5,False,26226.0,,,,2.0,['bsc'],,,,,,,,,,,,,,,,,,,,
39,True,zec,ZEC - Zcash,https://github.com/zcash,Decentralized and open-source cryptocurrency that provides strong privacy protections. Shielded transactions hide the..,privacy-coins,5,False,34811.333333333336,,,,1.0,,,,,,,,,,,,,,,,,,,,,
40,True,aleo,ALEO,https://github.com/AleoHQ,No description.,others,5,False,40516.66666666667,,,,1.0,,-1.0,,,,,,,,,,,,,,,,,,,
41,True,vet,VET - VeChain,https://github.com/vechain,Worlds leading blockchain platform offering Blockchain-as-a-Service to enterprises for products and information. By..,iot,5,False,25406.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
42,True,klay,KLAY - Klaytn,https://github.com/klaytn,"Public blockchain platform of the leading South Korean mobile platform, Kakao. Dedicated to validating the value and..",others,5,False,37096.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
43,True,miota,MIOTA - IOTA,https://github.com/iotaledger,"Open-source distributed data logging technology, which aims to securely enable the exchange of information and value..",iot,5,False,24549.33333333333,,,,1.0,,,,,,,,,,,,,,,,,,,,,
44,True,grt,GRT - The Graph,https://github.com/graphprotocol,Indexing protocol and global API for organizing blockchain data and making it easily accessible with GraphQL...,web3,5,False,12418.0,,,,1.0,['eth'],,,,,,,,,,,,,,,,,,,,
45,True,zil,ZIL - Zilliqa,https://github.com/Zilliqa,Zilliqa will be the worlds first high-throughput public blockchain platform - designed to scale to thousands of..,smart-contract-platform,5,False,11086.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
46,True,waxp,WAXP - WAX,https://github.com/worldwide-asset-exchange,WAX - Worldwide Asset eXchange Its a decentralized platform that enables anyone to operate a fully functioning virtual..,metaverse,5,False,19186.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
47,True,zrx,ZRX - 0x,https://github.com/0xProject,"An Open Protocol For Decentralized Exchange On The Ethereum Blockchain 0x is an open, permissionless protocol allowing..",exchange-tokens,5,False,9923.333333333332,,,,1.0,['eth'],,,,,,,,,,,,,,,,,,,,
48,True,uma,UMA - UMA,https://github.com/UMAprotocol,Decentralized financial contracts platform built to enable Universal Market Access.,defi,5,False,9838.0,,,,1.0,['eth'],,,,,,,,,,,,,,,,,,,,
49,True,ckb,CKB - Nervos Network,https://github.com/nervosnetwork,"Nervos CKByte (Common Knowledge Byte) is the native token of the Nervos Common Knowledge Base, a multi-asset, store of..",others,5,False,46558.66666666666,,,,1.0,,,,,,,,,,,,,,,,,,,,,
50,True,anc,ANC - Anchor Protocol,https://github.com/Anchor-Protocol,"Unique decentralized peer to peer internet cryptocurrency that provides for its users. I2P and Tor compatible, it is..",defi,5,False,10518.666666666666,,,,1.0,['luna'],,,,,,,,,,,,,,,,,,,,
51,True,dydx,DYDX - dYdX,https://github.com/dydxfoundation,"With an industry-leading product and a strong trajectory of organic growth, the dYdX Layer 2 protocol is ready for the..",exchange-tokens,5,False,37804.0,,,,1.0,['eth'],,,,,,,,,,,,,,,,,,,,
52,True,ant,ANT - Aragon,https://github.com/aragon,Aragon was born to bring transparency and independent governance to the forefront of managing an organization. We want..,web3,5,False,13810.0,,,,1.0,['eth'],,,,,,,,,,,,,,,,,,,,
53,True,keep,KEEP - Keep Network,https://github.com/keep-network,A privacy layer for Ethereum. A keep is an off-chain container for private data. Keeps help contracts harness the full..,privacy-coins,5,False,15220.0,,,,1.0,['eth'],,,,,,,,,,,,,,,,,,,,
54,True,ocean,OCEAN - Ocean Protocol,https://github.com/oceanprotocol,A Decentralized Data Exchange Protocol to Unlock Data for AI.,web3,5,False,27818.0,,,,1.0,['eth'],,,,,,,,,,,,,,,,,,,,
55,True,ewt,EWT - Energy Web Token,https://github.com/energywebfoundation,"Native token of the Energy Web Chain, a public, Proof-of-Authority Ethereum Virtual Machine blockchain specifically..",others,5,False,14252.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
56,True,rgt,RGT - Rari Governance Token,https://github.com/Rari-Capital,The Rari Governance Token is the native token behind Rari Capital. Rari Capital is a non-custodial DeFi robo-advisor..,defi,5,False,43262.0,,,,1.0,['eth'],,,,,,,,,,,,,,,,,,,,
57,True,bico,BICO - Biconomy,https://github.com/bcnmy,Biconomy provides plug-n-play APIs to make web3.0 user-friendly & frictionless. We are on a mission to make the..,others,5,False,20014.0,,,,1.0,['eth'],,,,,,,,,,,,,,,,,,,,
58,True,cfx,CFX - Conflux,https://github.com/Conflux-Chain,"Open protocol for a new world of DApps, finance, and Web 3.0. As a fast and secure public blockchain, Conflux Network..",smart-contract-platform,5,False,9268.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
59,True,req,REQ - Request,https://github.com/RequestNetwork,"A decentralized network built on top of Ethereum, which allows anyone, anywhere to request a payment.",defi,5,False,21638.0,,,,1.0,['eth'],,,,,,,,,,,,,,,,,,,,
60,True,rmrk,RMRK - RMRK,https://github.com/rmrk-team,"Most advanced nft system in the world, adding eternal liquidity and multi chain forward compatibility to all NFT..",metaverse,5,False,8132.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
61,True,twt,TWT - Trust Wallet Token,https://github.com/trustwallet,Trust Wallet Token (TWT) 511 is a utility token that can only be used within the app. This will be used to incentivize..,exchange-tokens,5,False,8990.0,,,,1.0,['bsc'],,,,,,,,,,,,,,,,,,,,
62,True,erg,ERG - Ergo,https://github.com/ergoplatform,ERGOs platform is based on a variety of ideas that complement each other and aim to provide solutions for various..,privacy-coins,5,False,26148.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
63,True,mngo,MNGO - Mango,https://github.com/blockworks-foundation,No description.,exchange-tokens,5,False,41180.0,,,,1.0,['sol'],,,,,,,,,,,,,,,,,,,,
64,True,kilt,KILT - KILT Protocol,https://github.com/KILTprotocol,"Open-source blockchain protocol for issuing verifiable, revocable, and anonymous claims-based credentials in Web 3.0...",web3,5,False,12348.0,,,,1.0,['dot'],,,,,,,,,,,,,,,,,,,,
65,True,rep,REP - Augur,https://github.com/AugurProject,Decentralized prediction market built on the Ethereum blockchain. It allows you to forecast events and be rewarded for..,defi,5,False,12066.0,,,,1.0,['eth'],,,,,,,,,,,,,,,,,,,,
66,True,kar,KAR - Karura,https://github.com/AcalaNetwork,"All-in-one DeFi hub of Kusama. Founded by the Acala Foundation, Karura is a scalable, EVM-compatible network optimized..",others,5,False,40936.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
67,True,xdata,XDATA - Streamr XDATA,https://github.com/streamr-dev,Unstoppable real-time data for unstoppable apps.,iot,5,False,13412.0,,,,1.0,['eth'],,,,,,,,,,,,,,,,,,,,
68,True,psp,PSP - ParaSwap,https://github.com/paraswap,Governance token for ParaSwap with the aim toprovide a decentralized exchange aggregator that is decentralized and..,exchange-tokens,5,False,11752.0,,,,1.0,['eth'],,,,,,,,,,,,,,,,,,,,
69,True,sbr,SBR - Saber,https://github.com/saber-hq,Cross-chain stablecoin exchange on Solana.,exchange-tokens,5,False,36846.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
70,True,beam,BEAM - BEAM,https://github.com/BeamMW,Scalable confidential cryptocurrency.,privacy-coins,5,False,28122.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
71,True,orca,ORCA - Orca,https://github.com/orca-so,Most user-friendly DEX on Solana. Orca is one of the first general-purpose AMMs launched on Solana. Users can swap..,exchange-tokens,5,False,13690.0,,,,1.0,['sol'],,,,,,,,,,,,,,,,,,,,
72,True,inst,INST - Instadapp,https://github.com/instadapp,"On Instadapp, users and developers manage and build their DeFi portfolio - the worlds most advanced platform to start..",defi,5,False,9206.0,,,,1.0,['eth'],,,,,,,,,,,,,,,,,,,,
73,True,hopr,HOPR - HOPR,https://github.com/hoprnet,HOPR provides essential and compliant network-level metadata privacy for everyone. HOPR is an open incentivized mixnet..,privacy-coins,5,False,21146.0,,,,1.0,['eth'],,,,,,,,,,,,,,,,,,,,
74,True,mta,MTA - mStable Governance Token: Meta,https://github.com/mstable,The Meta token aims to coordinate decentralised governance by incentivising stakeholders to act in the best interests..,defi,5,False,14706.0,,,,1.0,['eth'],,,,,,,,,,,,,,,,,,,,
